account_uid,customer_name,email,phone,account_type,created_at,risk_level,fraud_score,is_fraud
ACC00021,Alka Barad,sarafhemani@example.net,6981693406088,Savings,2022-12-29,Low,0.0,0
ACC00022,Januja Sankar,narayanandipta@example.net,4846564823662,Wallet,2022-04-22,Low,0.0,0
ACC00023,Nidra Acharya,bhavini36@example.net,7773872148951,Wallet,2021-09-26,Low,0.0,0
ACC00024,Dayita Kar,mananbakshi@example.org,7917693676320,Savings,2021-12-14,Low,0.0,1
ACC00025,Pavani Kanda,zarnashetty@example.org,1727889579868,Business,2022-06-30,Low,0.0,0
ACC00026,Nathan Soman,wlad@example.org,8734714345581,Savings,2022-12-09,Low,0.0,1
ACC00027,Matthew Kashyap,tdua@example.org,6658760366909,Savings,2022-06-14,Low,0.0,1
ACC00028,Vansha Ahuja,chanchal66@example.net,7346706562729,Wallet,2021-09-03,Low,0.0,0
ACC00029,Meera Bala,sanghakrishna@example.com,0465375564641,Wallet,2022-05-19,Low,0.0,1
ACC00030,Anirudh Zacharia,pallaudarsh@example.net,0033092327193,Current,2022-01-09,Low,0.0,0
ACC00031,Aahana Pillay,ishwargade@example.com,9049663193149,Savings,2023-11-15,Low,0.0,1
ACC00032,Benjamin Palan,eprabhakar@example.net,0671657262849,Current,2021-10-31,Low,0.0,1
ACC00033,Udyati Sarin,ekantika31@example.com,3799650752735,Wallet,2023-10-11,Low,0.0,0
ACC00034,Harini Mammen,advaith83@example.org,6783777014363,Current,2021-07-27,Low,0.0,0
ACC00035,Jyoti Solanki,pavani85@example.com,4443135182337,Savings,2022-12-07,Low,0.0,0
ACC00036,Barkha Chaudhry,chamankaran@example.com,4082400842710,Wallet,2022-09-23,Low,0.0,0
ACC00037,Upasna Srinivas,loak@example.org,7116719022941,Wallet,2023-07-18,Low,0.0,0
ACC00038,Jagat Saha,lajitaseshadri@example.com,9649909133412,Wallet,2023-01-02,Low,0.0,0
ACC00039,Oscar Borde,aarnavrege@example.com,4034471349361,Current,2022-02-13,Low,0.0,1
ACC00040,Manthan Lata,ekbalbhasin@example.org,9947174648877,Wallet,2022-01-12,Low,0.0,0
ACC00041,Balveer Sankaran,zashil01@example.org,4902787429671,Savings,2022-04-17,Low,0.0,0
ACC00042,Ijaya Rege,ekani12@example.com,7468071545168,Current,2022-07-03,Low,0.0,1
ACC00043,Turvi Sachdev,guhazarna@example.com,7034824771093,Current,2023-07-17,Low,0.0,0
ACC00044,Deepa Atwal,ochander@example.org,1274846773782,Business,2022-12-08,Low,0.0,0
ACC00045,Rayaan Trivedi,ekarajmajumdar@example.com,8404499727875,Wallet,2022-03-16,Low,0.0,0
ACC00046,Krishna Shah,ranbir39@example.com,6057662702895,Current,2022-01-29,Low,0.0,1
ACC00047,Ria Chaudhry,uaurora@example.org,2174596158657,Wallet,2021-08-20,Low,0.0,0
ACC00048,Ekapad Keer,utkarsh16@example.org,7240050455623,Savings,2023-05-11,Low,0.0,0
ACC00049,Pranit Garde,farhanraja@example.net,7923747407482,Savings,2021-09-28,Low,0.0,0
ACC00050,Riya Pai,panini47@example.com,6713695944064,Wallet,2022-11-16,Low,0.0,0
ACC00051,Chandran Taneja,victor95@example.org,9421047095214,Wallet,2023-10-25,Low,0.0,0
ACC00052,Ojasvi Gill,kevinzacharia@example.com,2474517123685,Current,2022-05-30,Low,0.0,1
ACC00053,Megha Atwal,jatin75@example.net,9651370985931,Wallet,2023-05-28,Low,0.0,0
ACC00054,Chasmum Rege,deychakradev@example.org,7113826758692,Business,2022-11-21,Low,0.0,0
ACC00055,Hardik Suri,cmammen@example.net,3773515850643,Business,2023-08-07,Low,0.0,0
ACC00056,Suhani Chand,anshbedi@example.com,2931839335290,Wallet,2023-08-11,Low,0.0,1
ACC00057,Maanav De,owen10@example.org,5395024026811,Current,2021-11-29,Low,0.0,1
ACC00058,Saumya Pathak,sethyahvi@example.org,8470076617711,Wallet,2021-11-27,Low,0.0,1
ACC00059,Manbir Bhatti,anvinair@example.com,7896118367365,Business,2022-05-13,Low,0.0,0
ACC00060,Mohini Sagar,munshiprisha@example.com,5271111615280,Business,2022-12-26,Low,0.0,1
ACC00061,Jason Roy,pallavi04@example.net,5198327315851,Current,2023-08-12,Low,0.0,1
ACC00062,Upkaar Sanghvi,lokeayush@example.org,4550229612018,Business,2023-09-29,Low,0.0,0
ACC00063,Krisha Saini,kom@example.com,5991022901476,Savings,2021-08-02,Low,0.0,0
ACC00064,Riya Sachdeva,tanveer81@example.com,1497840369003,Savings,2023-07-28,Low,0.0,0
ACC00065,Siddharth Devan,bimala51@example.org,6226838851606,Current,2021-10-11,Low,0.0,0
ACC00066,Tripti Brahmbhatt,pushti96@example.net,4160529751613,Business,2022-04-30,Low,0.0,0
ACC00067,Nandini Viswanathan,randhawadayita@example.net,3521818835523,Savings,2022-12-02,Low,0.0,0
ACC00068,Madhav Kunda,oscardua@example.net,2779979955271,Business,2022-04-30,Low,0.0,0
ACC00069,Riya Mitter,daksh58@example.org,7700541199867,Business,2022-07-08,Low,0.0,0
ACC00070,Shivani Guha,vamakshi82@example.org,1518203778892,Wallet,2024-06-08,Low,0.0,1
ACC00071,Kashish Mandal,xrege@example.com,5151864492519,Savings,2022-02-03,Low,0.0,0
ACC00072,Inaya Mukherjee,mdayal@example.net,4865281685054,Savings,2022-02-01,Low,0.0,1
ACC00073,Tanish Om,ohanda@example.org,1418880592962,Wallet,2021-11-04,Low,0.0,0
ACC00074,Pratyush Gandhi,abassi@example.com,7947383473597,Wallet,2023-09-08,Low,0.0,0
ACC00075,Baghyawati Raja,medwin@example.net,4075818141247,Wallet,2022-10-12,Low,0.0,0
ACC00076,Rajeshri Chand,shravyapalla@example.org,0685361530515,Current,2022-09-23,Low,0.0,1
ACC00077,Laksh Barad,urmi27@example.com,1043289861434,Savings,2021-12-22,Low,0.0,0
ACC00078,Champak Khare,eshankar@example.org,9808932460953,Wallet,2022-08-06,Low,0.0,0
ACC00079,Rachit Chada,ekansh88@example.net,6706540515319,Current,2022-07-30,Low,0.0,1
ACC00080,Kiaan Basu,hamsini27@example.net,2217043030548,Savings,2021-07-23,Low,0.0,0
ACC00081,Urvashi Kulkarni,halderbhavika@example.com,5415667652775,Wallet,2021-08-22,Low,0.0,1
ACC00082,Fitan Samra,sanipranit@example.net,5115447962757,Current,2023-07-28,Low,0.0,0
ACC00083,Ira Saran,dakshesh16@example.com,0297021355690,Wallet,2021-11-11,Low,0.0,0
ACC00084,Shivani Prabhakar,sachi19@example.org,6543102786814,Current,2022-06-27,Low,0.0,1
ACC00085,Sanaya Kala,vritti31@example.org,7271551884422,Savings,2022-04-27,Low,0.0,0
ACC00086,Yashoda Kapur,iyerliam@example.org,0589578291146,Wallet,2022-08-18,Low,0.0,0
ACC00087,Nirja Rout,dassedhitha@example.net,7785289226801,Savings,2023-09-08,Low,0.0,1
ACC00088,Daksha Gala,ekantikakar@example.com,1438424981829,Wallet,2021-07-15,Low,0.0,1
ACC00089,Onveer Nazareth,balakrishnanfinn@example.org,3969078447364,Wallet,2023-04-30,Low,0.0,0
ACC00090,Elijah Bhasin,riasagar@example.com,3592555625881,Savings,2023-04-29,Low,0.0,1
ACC00091,Wyatt Shukla,lokeshivani@example.org,1046963259532,Savings,2023-10-05,Low,0.0,1
ACC00092,Yutika Sibal,fmorar@example.org,6873395004797,Business,2021-09-17,Low,0.0,1
ACC00093,Abhiram Chokshi,qdesai@example.net,6506098358416,Savings,2021-11-13,Low,0.0,0
ACC00094,Ati Dani,gunbirramesh@example.com,8523986800025,Current,2023-08-22,Low,0.0,0
ACC00095,Zilmil Shan,yutikadey@example.com,2694958887947,Business,2022-06-17,Low,0.0,1
ACC00096,Jyoti Narula,sahadarika@example.net,9749930972896,Current,2023-04-04,Low,0.0,1
ACC00097,Xavier Balay,halderanirudh@example.com,6263689702838,Business,2023-05-29,Low,0.0,1
ACC00098,Vanya Vora,lmurthy@example.com,8549733484344,Current,2021-12-31,Low,0.0,0
ACC00099,Vrinda Nadig,jpalla@example.net,4198665240415,Wallet,2022-11-18,Low,0.0,0
ACC00100,Aahana Srinivas,sakshamyohannan@example.com,2199330833016,Wallet,2022-10-09,Low,0.0,1
ACC00101,Urmi Chaudhry,abduldugar@example.com,7345401938026,Business,2023-08-30,Low,0.0,0
ACC00102,Balhaar Ranganathan,vgrewal@example.com,0499154788728,Current,2023-05-15,Low,0.0,0
ACC00103,Anjali Hans,narayanannicholas@example.net,4205493296685,Savings,2023-01-19,Low,0.0,1
ACC00104,Nandini Chandran,logansood@example.com,0463745499045,Savings,2022-05-08,Low,0.0,0
ACC00105,David Dani,kmohanty@example.com,1459332727956,Current,2022-05-08,Low,0.0,0
ACC00106,Tejas Kota,vorasanya@example.net,1910883982258,Current,2023-12-24,Low,0.0,0
ACC00107,Jackson Jha,gchand@example.com,7286790874064,Savings,2022-01-06,Low,0.0,0
ACC00108,Tejas Bora,sampathhemangini@example.net,8017046226567,Savings,2023-05-11,Low,0.0,0
ACC00109,Keya Buch,ijayadani@example.org,8230047868633,Savings,2023-11-29,Low,0.0,0
ACC00110,Hiral Dubey,ranbir10@example.net,9033119079030,Wallet,2023-10-20,Low,0.0,0
ACC00111,Reva Kaur,dakshdey@example.net,3959953428364,Current,2023-03-21,Low,0.0,0
ACC00112,Darsh Gill,dtandon@example.com,8566246287334,Business,2023-05-26,Low,0.0,1
ACC00113,Ubika Bhardwaj,jsaha@example.net,6343517518304,Current,2021-12-21,Low,0.0,1
ACC00114,Balveer Bora,teerthsrinivas@example.org,4033173936385,Business,2023-04-27,Low,0.0,1
ACC00115,Lajita Shukla,darika45@example.net,7175355609320,Business,2021-09-26,Low,0.0,0
ACC00116,Omisha Merchant,rohannarayan@example.org,9378547772522,Business,2023-06-20,Low,0.0,0
ACC00117,Qarin Bhargava,bordechanakya@example.org,2312038750997,Savings,2023-09-23,Low,0.0,0
ACC00118,Amol Ahuja,barora@example.net,8408621182339,Business,2023-01-03,Low,0.0,1
ACC00119,Irya Loke,xbrar@example.com,9334101666870,Business,2022-11-06,Low,0.0,0
ACC00120,Onveer Butala,psaraf@example.com,8033974014890,Business,2021-07-30,Low,0.0,0
ACC00121,Divya Babu,maanasrao@example.org,2939685621850,Savings,2022-02-10,Low,0.0,0
ACC00122,Rajeshri Kata,oakmekhala@example.com,4773586629619,Savings,2023-10-30,Low,0.0,0
ACC00123,Yatin Borah,loyalmitesh@example.com,6551104754121,Business,2021-12-16,Low,0.0,0
ACC00124,Raagini Sen,bchauhan@example.org,8199560466183,Wallet,2021-10-03,Low,0.0,0
ACC00125,Lajita Gara,amrutamitra@example.com,2126464715437,Savings,2023-04-21,Low,0.0,1
ACC00126,Tanvi Chhabra,dakshaahuja@example.com,9657569245937,Current,2023-06-20,Low,0.0,0
ACC00127,Peter Rao,bishakha79@example.org,6465193982807,Business,2023-08-10,Low,0.0,0
ACC00128,Raksha Manne,regexalak@example.org,3426617979688,Business,2023-06-27,Low,0.0,1
ACC00129,Balhaar Parsa,choprayuvraj@example.net,2909656101438,Wallet,2022-09-14,Low,0.0,0
ACC00130,Sanaya Prasad,xsheth@example.net,5071461125457,Current,2021-07-19,Low,0.0,0
ACC00131,Vasudha Pall,cchatterjee@example.net,5140105123828,Savings,2022-10-04,Low,0.0,1
ACC00132,Ganga Sandhu,zkata@example.com,2660937966033,Savings,2023-11-10,Low,0.0,0
ACC00133,Dev Chaudry,jasmitnanda@example.org,1478596969155,Savings,2023-09-27,Low,0.0,1
ACC00134,Orinder Mishra,desaidhriti@example.org,4125286692966,Current,2023-07-14,Low,0.0,0
ACC00135,Vidhi Yogi,ojassuri@example.com,2579050723688,Business,2022-08-21,Low,0.0,0
ACC00136,Nilima Swamy,fsawhney@example.org,9034043842797,Business,2023-05-27,Low,0.0,1
ACC00137,Ishaan Loyal,benjamin78@example.org,1340745171339,Business,2023-11-01,Low,0.0,1
ACC00138,Priya Gandhi,samueljhaveri@example.org,8498254494812,Current,2022-12-08,Low,0.0,0
ACC00139,Daniel Malhotra,kevinkrish@example.org,3672946671168,Savings,2022-11-27,Low,0.0,0
ACC00140,Jyoti Sha,lnarang@example.org,7518636374545,Wallet,2021-10-20,Low,0.0,0
ACC00141,Vedhika Oza,batrahardik@example.net,0127706324241,Business,2023-03-14,Low,0.0,1
ACC00142,Zashil Butala,noah06@example.net,3611037129387,Business,2022-01-17,Low,0.0,0
ACC00143,Abhiram Oza,samikevin@example.com,3611155426221,Business,2023-07-26,Low,0.0,0
ACC00144,Nitesh Sarraf,tanay26@example.net,3112196565234,Current,2023-03-03,Low,0.0,0
ACC00145,Yuvraj Mane,mitrasamesh@example.net,6403761379180,Current,2023-11-02,Low,0.0,0
ACC00146,Edhitha Deo,xsalvi@example.net,7109104300684,Savings,2021-11-26,Low,0.0,0
ACC00147,Pallavi Ratti,yadavmichael@example.com,4183285691463,Wallet,2023-11-03,Low,0.0,1
ACC00148,Yash Chadha,ddalia@example.net,4210202758842,Savings,2022-05-12,Low,0.0,0
ACC00149,Jonathan Luthra,balangautami@example.com,8149177850792,Business,2022-08-04,Low,0.0,0
ACC00150,Nakul Kumer,daliavedant@example.net,0030756220863,Current,2023-11-03,Low,0.0,0
ACC00151,Yuvraj Saha,anika19@example.com,8023806174451,Savings,2021-08-12,Low,0.0,0
ACC00152,Abhiram Pillay,bishakhamodi@example.net,7597383206038,Current,2023-10-22,Low,0.0,0
ACC00153,Aditya Nayak,puridamyanti@example.org,8367024103865,Savings,2022-02-08,Low,0.0,0
ACC00154,Frado Chandran,meeraborde@example.net,6234456557431,Current,2022-11-13,Low,0.0,0
ACC00155,Laban Chopra,hiteshgala@example.com,5618537474112,Savings,2022-05-27,Low,0.0,0
ACC00156,Banjeet Kale,manbir13@example.com,8044206788317,Current,2022-05-18,Low,0.0,0
ACC00157,Logan Dara,bhatiatristan@example.org,6519941013721,Savings,2022-04-06,Low,0.0,0
ACC00158,Jason Basak,kbedi@example.net,6706625324472,Savings,2022-10-28,Low,0.0,1
ACC00159,Yatan Merchant,jsabharwal@example.com,1462638380657,Wallet,2023-04-08,Low,0.0,0
ACC00160,Hemangini Thakkar,lipika42@example.org,9304078593213,Current,2022-02-14,Low,0.0,0
ACC00161,Amaira Walla,kandalipika@example.com,2395590599293,Wallet,2023-05-01,Low,0.0,0
ACC00162,Dayamai Gill,fbarad@example.org,9308705932525,Wallet,2022-11-21,Low,0.0,0
ACC00163,Anthony Divan,indrajitvora@example.com,5691545226752,Current,2022-02-12,Low,0.0,0
ACC00164,Udant Gill,umohanty@example.net,2209690295939,Wallet,2022-09-19,Low,0.0,0
ACC00165,Watika Dhaliwal,faras35@example.com,1570433154100,Wallet,2021-11-22,Low,0.0,0
ACC00166,Raksha Saini,odikatailor@example.com,8617932710405,Savings,2023-12-22,Low,0.0,0
ACC00167,Henry Borah,onkar62@example.net,8159970629620,Business,2022-04-04,Low,0.0,0
ACC00168,Garima Jha,nimratzachariah@example.com,4310698720506,Savings,2023-10-17,Low,0.0,0
ACC00169,Chaitaly Srinivasan,gunbirbal@example.org,4171467741862,Current,2022-07-31,Low,0.0,0
ACC00170,Lakshmi Pingle,sanayabasu@example.com,7434902115869,Wallet,2023-08-18,Low,0.0,1
ACC00171,Darsh Ram,rwason@example.com,7416089899217,Wallet,2023-10-22,Low,0.0,0
ACC00172,Oliver Kakar,jonathanbasak@example.com,6329451168685,Current,2022-12-18,Low,0.0,0
ACC00173,Zinal Shanker,virkoni@example.org,2299911914856,Wallet,2023-07-23,Low,0.0,1
ACC00174,Leela Sunder,lbarad@example.com,2996065307450,Business,2021-08-30,Low,0.0,1
ACC00175,Chavvi Mukhopadhyay,vyanjana13@example.org,7546913736785,Wallet,2022-04-14,Low,0.0,1
ACC00176,Yutika Dutt,mukhopadhyayyashawini@example.com,8902330307053,Savings,2022-02-16,Low,0.0,1
ACC00177,Jyoti Shetty,rdasgupta@example.org,5797279855241,Wallet,2022-02-20,Low,0.0,0
ACC00178,Ayaan Raju,gabatanish@example.org,3468007229034,Savings,2021-07-15,Low,0.0,1
ACC00179,Anvi Sampath,dpalla@example.com,7489691085899,Current,2023-04-05,Low,0.0,0
ACC00180,Chanchal Chokshi,vbhatt@example.com,4443283096520,Savings,2023-09-13,Low,0.0,1
ACC00181,Chakrika Lad,yravel@example.net,9935387584282,Current,2023-03-28,Low,0.0,0
ACC00182,Gunbir Sinha,aarnagoswami@example.net,1353465549471,Wallet,2022-04-21,Low,0.0,1
ACC00183,Chatresh Bobal,ghayer@example.org,8460223569725,Current,2021-12-27,Low,0.0,0
ACC00184,Faris Sura,peter50@example.org,4329271296666,Wallet,2023-06-06,Low,0.0,0
ACC00185,Leela Agrawal,wallaryan@example.net,0583003354216,Wallet,2022-08-01,Low,0.0,0
ACC00186,Oliver Bhattacharyya,misrabina@example.com,6257532603323,Business,2023-04-18,Low,0.0,0
ACC00187,Yamini Gara,peribaljiwan@example.com,8909010016761,Savings,2023-09-28,Low,0.0,0
ACC00188,Urvi Dua,adityamitra@example.com,8499261891411,Business,2021-09-03,Low,0.0,0
ACC00189,Rushil Iyengar,saksham56@example.com,0873753001197,Wallet,2023-11-16,Low,0.0,1
ACC00190,Gautam Vaidya,chaudhuriaahana@example.net,7447012045561,Savings,2023-01-24,Low,0.0,0
ACC00191,Chakradev Andra,onkarnarasimhan@example.com,9415521667467,Current,2022-03-19,Low,0.0,0
ACC00192,Ojas Chowdhury,danieldutta@example.org,9797296590277,Wallet,2023-07-19,Low,0.0,0
ACC00193,Nisha Sastry,bhatnagaradvika@example.net,0899358891637,Business,2022-06-15,Low,0.0,0
ACC00194,Lekha Dixit,aptenaksh@example.net,7217535408386,Business,2022-06-05,Low,0.0,1
ACC00195,Wahab Brar,zsawhney@example.net,1775170166088,Savings,2023-09-08,Low,0.0,0
ACC00196,Gavin Modi,tanmayiom@example.com,3758997571130,Savings,2022-01-23,Low,0.0,0
ACC00197,Isha Manne,hitesh02@example.com,6149331637351,Current,2022-06-21,Low,0.0,0
ACC00198,Chakradhar Dasgupta,qshankar@example.net,7080869782922,Savings,2021-08-29,Low,0.0,1
ACC00199,Lila Nagy,msahota@example.net,4654722698485,Wallet,2022-05-14,Low,0.0,1
ACC00200,Sai Kadakia,hemani22@example.net,1587996846081,Current,2022-10-17,Low,0.0,1
ACC00201,Lakshmi Dhillon,bhallaryan@example.com,4420438057198,Current,2023-11-19,Low,0.0,0
ACC00202,Lopa Khanna,champak66@example.com,8004397359893,Wallet,2022-12-23,Low,0.0,0
ACC00203,Chaitaly Sen,falangrover@example.org,6064842294057,Savings,2022-12-30,Low,0.0,0
ACC00204,Balveer Dube,charan94@example.com,1583281826886,Current,2022-02-01,Low,0.0,0
ACC00205,Ikshita Kant,garimanarula@example.com,3987801573993,Current,2022-02-17,Low,0.0,0
ACC00206,Ekani Raj,rajuaahana@example.net,0858877043581,Savings,2023-01-03,Low,0.0,0
ACC00207,Oliver Yogi,bhattishivansh@example.net,6138612075011,Business,2022-04-05,Low,0.0,0
ACC00208,Pranav Krishnamurthy,kariaarna@example.com,7665061809190,Current,2023-05-03,Low,0.0,0
ACC00209,Ishita Thakkar,manncharvi@example.net,4766072832684,Current,2021-10-03,Low,0.0,0
ACC00210,Chanchal Prakash,dhaliwaljatin@example.org,9968814353682,Current,2022-11-04,Low,0.0,0
ACC00211,Qarin Kant,rishi12@example.net,8781414139755,Savings,2023-07-01,Low,0.0,1
ACC00212,Wahab Chaudhry,ekaraj35@example.com,5949299556205,Wallet,2021-10-21,Low,0.0,0
ACC00213,Timothy Sarin,jagvi25@example.com,7547812914283,Business,2021-10-01,Low,0.0,0
ACC00214,Faraj Borra,tripathiazaan@example.net,9308488725639,Current,2023-04-02,Low,0.0,0
ACC00215,Krish Shetty,ranganathanjanuja@example.net,3928272299275,Current,2021-10-16,Low,0.0,0
ACC00216,Theodore Sura,devlalla@example.com,0385677005184,Savings,2022-12-05,Low,0.0,1
ACC00217,Owen Puri,lpau@example.net,8463865577908,Savings,2021-08-04,Low,0.0,0
ACC00218,Ria Gandhi,farajvarkey@example.net,3222591365177,Business,2023-05-18,Low,0.0,0
ACC00219,Shivansh Edwin,pbains@example.org,9922809202428,Current,2021-09-16,Low,0.0,0
ACC00220,Anirudh Mander,kalitasaumya@example.net,7236929298425,Business,2023-01-07,Low,0.0,0
ACC00221,Ekapad Karpe,irajan@example.org,3886291279908,Wallet,2021-09-12,Low,0.0,0
ACC00222,Girik Subramaniam,aaravsankar@example.net,5086376599162,Current,2023-05-17,Low,0.0,0
ACC00223,Vansha Kaul,mandernilima@example.com,0098180635651,Savings,2022-02-24,Low,0.0,0
ACC00224,Pooja Kulkarni,pallavi95@example.net,6368872588744,Current,2022-11-18,Low,0.0,1
ACC00225,Mitali Devi,karpesanya@example.net,1386589026012,Wallet,2023-03-21,Low,0.0,0
ACC00226,Radhika Chakrabarti,lalltristan@example.com,9066984902770,Savings,2021-10-31,Low,0.0,0
ACC00227,Zarna Mangal,bahadurjituppal@example.net,9205302146566,Wallet,2023-01-06,Low,0.0,1
ACC00228,Zarna Aurora,chanabhavani@example.net,5439376904268,Business,2022-02-04,Low,0.0,0
ACC00229,Elijah Thakur,harini18@example.com,7697357790714,Wallet,2023-12-03,Low,0.0,0
ACC00230,Lavanya Kannan,diyasachar@example.com,4341651827553,Savings,2021-07-16,Low,0.0,0
ACC00231,Qadim Gupta,piyengar@example.net,4333395211179,Wallet,2023-07-02,Low,0.0,0
ACC00232,Brijesh Subramaniam,divya79@example.com,2846392086780,Wallet,2023-11-22,Low,0.0,1
ACC00233,Meera Ghosh,sdara@example.net,5003691559428,Savings,2022-04-30,Low,0.0,0
ACC00234,Warjas Luthra,xoza@example.org,6365564729293,Business,2023-01-12,Low,0.0,0
ACC00235,Anamika Keer,mraj@example.org,7026728857448,Wallet,2022-10-11,Low,0.0,0
ACC00236,Mitali Chaudhary,darpankale@example.com,1754558845061,Savings,2022-12-02,Low,0.0,0
ACC00237,Rushil Yohannan,bhavanipant@example.com,7169472256996,Current,2023-04-15,Low,0.0,0
ACC00238,Fariq Edwin,vedant55@example.net,4964759876220,Savings,2022-01-05,Low,0.0,0
ACC00239,Wahab Krishnamurthy,kadeojas@example.com,1178006811492,Business,2023-12-30,Low,0.0,0
ACC00240,Madhavi More,yugmander@example.com,2820055778487,Current,2022-12-24,Low,0.0,0
ACC00241,Peter Shan,oviswanathan@example.net,5783174564240,Business,2023-10-21,Low,0.0,0
ACC00242,Laban Padmanabhan,upasna80@example.net,7406493085368,Wallet,2022-04-02,Low,0.0,1
ACC00243,Megha Krish,madhaviradhakrishnan@example.org,1638944846312,Wallet,2022-02-20,Low,0.0,1
ACC00244,Bimala Choudhry,rsethi@example.net,3502080214427,Savings,2021-12-24,Low,0.0,0
ACC00245,Viraj Chana,alexandertak@example.org,6475705120461,Wallet,2022-07-30,Low,0.0,0
ACC00246,Pratyush Handa,lakshmi01@example.net,6730371837645,Wallet,2022-02-17,Low,0.0,0
ACC00247,Brijesh Verma,kulkarnivasana@example.net,3503136502491,Business,2023-01-31,Low,0.0,0
ACC00248,Xavier Andra,somanmohammed@example.com,3271950052812,Business,2022-01-17,Low,0.0,0
ACC00249,Viraj Nadig,reva30@example.net,5240778487392,Wallet,2022-06-12,Low,0.0,1
ACC00250,Ekiya Sidhu,naveen18@example.org,4485708620959,Current,2023-06-18,Low,0.0,0
ACC00251,Ekani Bhatnagar,hgupta@example.net,8294565118102,Business,2024-08-02,Low,0.0,1
ACC00252,Azad Jaggi,sunderrehaan@example.org,9678994053910,Business,2022-02-06,Low,0.0,0
ACC00253,Vyanjana Buch,xbhat@example.net,5094801413811,Current,2022-04-10,Low,0.0,0
ACC00254,Lekha Gupta,yuvrajgola@example.net,1957612286852,Wallet,2022-11-11,Low,0.0,1
ACC00255,Indira Murty,kamya66@example.net,9398368457760,Savings,2023-02-23,Low,0.0,0
ACC00256,Bhavani Babu,chasmumahuja@example.com,3504888992107,Wallet,2023-05-30,Low,0.0,1
ACC00257,Nachiket Devi,jeevika93@example.org,4196931572791,Business,2021-10-18,Low,0.0,0
ACC00258,Baljiwan Raj,bhallagaurika@example.com,6139060480589,Wallet,2022-09-11,Low,0.0,1
ACC00259,Eta Thakkar,michaelbedi@example.net,7998136462251,Business,2022-10-05,Low,0.0,1
ACC00260,Chandran Rastogi,frederick68@example.com,2783769389833,Current,2022-07-26,Low,0.0,0
ACC00261,Amaira Sani,gaurav16@example.com,5355904259792,Business,2021-10-10,Low,0.0,0
ACC00262,Chaitanya Kaur,kashvidugal@example.net,1039240514770,Current,2022-02-25,Low,0.0,0
ACC00263,Shaurya Yogi,samarvirk@example.com,9206980420439,Savings,2023-03-16,Low,0.0,0
ACC00264,Chatresh Shroff,bhavsarlipika@example.net,5104636815798,Wallet,2023-09-27,Low,0.0,1
ACC00265,Quincy Issac,cbains@example.org,5762055543840,Current,2022-02-11,Low,0.0,0
ACC00266,Lila Balan,umang25@example.com,1689363926495,Wallet,2023-05-15,Low,0.0,0
ACC00267,Karan Jhaveri,samakshdevi@example.com,6292518812520,Current,2023-08-03,Low,0.0,1
ACC00268,Odika Sabharwal,saanvi42@example.org,2209949993933,Savings,2023-11-14,Low,0.0,1
ACC00269,Jagrati Buch,gdesai@example.net,5267722330604,Current,2022-09-01,Low,0.0,0
ACC00270,Tristan Jain,dominicgoel@example.com,5736609656999,Savings,2022-09-21,Low,0.0,0
ACC00271,Ikbal Seth,pbasak@example.net,0868034764472,Business,2022-03-27,Low,0.0,0
ACC00272,Chaitaly Bhagat,ubikaseth@example.org,2982665702793,Current,2021-12-26,Low,0.0,0
